Disease_Code,Name,Symptoms,Treatments,Chronic,Contagious
D124,Primary Insomnia," daytime sleepiness,  difficulty concentrating,  irritability, Difficulty falling asleep or staying asleep"," creating a comfortable sleep environment),  medications for insomnia (such as sedative-hypnotics,  melatonin agonists),  relaxation techniques,  sleep hygiene practices (such as maintaining a regular sleep schedule,  sleep restriction therapy,  stimulus control techniques (such as limiting bed activities to sleep only), Cognitive-behavioral therapy for insomnia (CBT-I)",True,False
D125,Mastoiditis," drainage of fluid or pus from the ear,  earache,  fever,  headache,  hearing loss or impaired hearing,  irritability (in infants and young children),  mastoid bone protrusion or swelling,  swelling and redness of the ear or the area behind the ear,  tenderness or pain when touching the area, Ear pain (particularly behind the ear)"," ear drops (if there is drainage from the ear),  hydration,  pain relievers (such as acetaminophen or ibuprofen) for pain and fever,  such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear),  supportive care (rest,  surgical intervention (in severe or chronic cases),  warm compresses), Antibiotics (oral or intravenous) to treat the underlying bacterial infection",True,True
D126,Acinic cell carcinoma," Facial changes,  swelling, Lump"," Radiation therapy, Surgery",True,False
D127,Arthritis," stiffness,  swelling, Joint pain"," physical therapy,  surgery (in severe cases), Medications",True,False
D128,Wharton's duct stones," bad taste,  dry mouth,  pain, Swelling"," Stone removal, Hydration, Saliva stimulation",False,False
D129,Pharyngitis," difficulty swallowing,  swollen lymph nodes, Sore throat"," antibiotics (if bacterial infection),  pain relievers,  symptomatic relief,  throat lozenges, Rest",False,True
D130,Pericarditis," fever,  worsens with deep breaths or lying down, Chest pain (sharp and stabbing)"," antibiotics (if bacterial infection is present),  avoiding strenuous activity),  colchicine (for recurrent or persistent pericarditis),  corticosteroids (in severe cases or when NSAIDs are ineffective),  lifestyle modifications (rest,  potential pericardiocentesis (fluid drainage),  treating underlying causes (if identified), Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain",True,True
D131,Antihypertensives Poisoning," low blood pressure,  nausea,  slow heart rate,  vomiting, Dizziness"," activated charcoal administration,  specific antidotes,  supportive care, Immediate medical attention",False,False
D132,Hypothyroidism," constipation,  depression,  dry skin,  elevated cholesterol levels,  muscle weakness,  sensitivity to cold,  weight gain, Fatigue"," education and support for long-term management,  lifestyle modifications (such as healthy diet and regular exercise),  management of associated symptoms (such as cholesterol-lowering medications or antidepressants),  regular monitoring of thyroid hormone levels and adjustment of medication dosage, Hormone replacement therapy with synthetic thyroid hormone (levothyroxine)",True,True
D133,Oral Leukoplakia," often on the tongue or inside of the cheeks,  that cannot be scraped off, White patches or plaques in the mouth"," cryotherapy (freezing the patches),  education and support,  identification and elimination of potential irritants (such as tobacco or alcohol),  improving oral hygiene practices,  laser therapy,  lifestyle modifications (such as healthy diet),  medication (such as topical retinoids or antifungal agents),  regular dental check-ups,  surgical removal (in some cases), Regular monitoring and follow-up",True,False
D134,Seborrheic Dermatitis," and oily patches of skin,  dandruff,  flaky scalp,  itchy, Red"," corticosteroid creams,  medicated shampoos, Topical antifungal creams or ointments",False,False
D135,Hydrocephalus," cognitive or developmental problems,  enlarged head in infants,  nausea,  vomiting, Headache"," endoscopic third ventriculostomy,  medication (in some cases), Shunt placement (to divert excess cerebrospinal fluid)",True,False
D136,Marijuana Abuse," altered judgment,  anxiety, Impaired memory and cognition"," counseling,  detoxification,  medication,  support groups, Behavioral therapy",True,False
D137,Chronic Otitis Media," hearing loss,  recurrent ear infections, Ear pain"," ear drops,  surgical intervention (in some cases), Antibiotics",False,False
D138,Pterygium,Growth on the conjunctiva (white part of the eye)," eye lubricants,  surgical removal (in severe cases), Artificial tears",False,False
D139,Hepatic Encephalopathy," forgetfulness,  personality changes,  tremors, Confusion"," dietary modifications,  medications to manage symptoms, Treating underlying liver disease",True,False
D140,Tietze Syndrome," swelling and tenderness of the cartilage connecting the ribs to the breastbone, Chest pain"," avoiding activities that worsen symptoms,  corticosteroid injections (in some cases),  local heat or ice application,  pain relievers,  physical therapy (to improve posture and strengthen muscles),  stress reduction techniques,  supportive measures (such as wearing loose clothing or using supportive pillows), Nonsteroidal anti-inflammatory drugs (NSAIDs)",True,False
D141,Nose Disorder," facial pain or pressure,  loss of smell,  runny nose,  sneezing, Nasal congestion"," allergy management,  and may include medications (such as decongestants,  antibiotics (if bacterial infection is present),  antihistamines,  nasal sprays),  or nasal polyps),  saline nasal irrigation,  sinusitis,  steam inhalation,  surgical intervention (in some cases), Treatment depends on the underlying cause (such as allergies",True,True
D142,Exfoliation Glaucoma," visual field loss, Elevated intraocular pressure"," alpha agonists,  beta blockers,  carbonic anhydrase inhibitors),  glaucoma drainage implants),  laser trabeculoplasty,  prostaglandin analogs,  surgical procedures (e.g.,  trabeculectomy, Eye drops to lower intraocular pressure (e.g.",False,False
D143,Protein Deficiency," delayed wound healing,  fatigue,  hair loss,  impaired immunity,  swelling of the limbs,  weakness, Muscle wasting"," addressing underlying causes (e.g.,  dairy,  fish,  legumes,  malabsorption),  nutritional counseling,  nuts),  protein supplements, Increasing protein intake through diet (lean meats",False,True
D144,Thrombocytopenia," excessive menstrual bleeding,  nosebleeds,  petechiae (red or purple spots on the skin),  prolonged bleeding from cuts, Easy bruising"," avoiding medications that can worsen platelet counts,  immunosuppressants),  medication (corticosteroids,  platelet transfusion (if severe), Treatment of underlying cause",True,False
D145,Alopecia," patchy or generalized hair loss, Hair loss or balding"," hair transplant surgery,  oral medications (finasteride),  steroid injections,  wigs or hairpieces, Topical medications (minoxidil)",True,False
D146,Polymyalgia Rheumatica," fatigue,  joint pain, Muscle pain and stiffness"," nonsteroidal anti-inflammatory drugs (NSAIDs), Low-dose corticosteroids",False,True
D147,Bone Cancer," fatigue,  fractures,  unexplained weight loss, Bone pain"," chemotherapy,  radiation therapy,  targeted therapy, Surgery",True,True
D148,Preeclampsia," headaches,  proteinuria,  swelling,  visual disturbances, High blood pressure"," blood pressure monitoring,  delivery of the baby (in severe cases),  frequent prenatal visits,  magnesium sulfate (for severe cases),  medication (such as antihypertensive drugs), Bed rest",True,False
D149,Hypertrophic Obstructive Cardiomyopathy (HOCM)," chest pain or discomfort,  dizziness or lightheadedness,  especially during physical activity or exertion,  fainting or near-fainting episodes,  fatigue,  feet,  heart palpitations (rapid or irregular heartbeat),  or legs,  swelling in the ankles, Shortness of breath"," alcohol septal ablation (destruction of excess heart muscle with alcohol injection),  and disopyramide),  and maintaining a healthy weight),  calcium channel blockers,  implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms),  lifestyle modifications (such as avoiding strenuous activities,  managing stress,  medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs),  medications to reduce blood clotting (such as aspirin or anticoagulants),  regular follow-up visits with a cardiologist,  septal myectomy (surgical removal of a portion of the thickened heart muscle), Medications to relieve symptoms and improve heart function (such as beta-blockers",True,True
D150,Nonalcoholic Liver Disease (NASH)," abdominal swelling or pain,  elevated liver enzymes,  enlarged liver,  insulin resistance, Fatigue"," healthy diet,  management of underlying conditions,  medication as needed,  regular exercise), Lifestyle changes (weight loss",True,True
D151,Amyloidosis," organ dysfunction,  weight loss, Fatigue",Treatment depends on the type and extent of organ damage,False,True
D152,Ethylene glycol poisoning-3," Severe kidney damage,  and signs of fluid overload,  swelling in the legs and ankles, Decreased urine output"," Antidote Administration,  Gastric Decontamination,  Hemodialysis, Supportive Measures",False,False
D153,Fracture of the Rib," difficulty breathing,  tenderness or swelling over the ribcage, Chest pain"," immobilization (splinting or bracing),  physical therapy,  rest, Pain management",True,False
D154,Breast Cancer," breast pain,  changes in breast size or shape,  nipple changes, Breast lump"," chemotherapy,  hormone therapy,  radiation therapy,  targeted therapy, Surgery (lumpectomy or mastectomy)",True,False
D155,Neuromyelitis Optica," loss of bladder or bowel control),  numbness,  or paralysis of the limbs,  pain with eye movement),  transverse myelitis (weakness, Optic neuritis (vision loss"," immunosuppressive therapy (such as azathioprine or rituximab),  physical therapy or rehabilitation for functional recovery,  plasma exchange (to remove antibodies from the blood),  supportive care to manage symptoms, High-dose corticosteroids",True,False
D156,Eye alignment disorder," Eye fatigue,  Head tilting,  Poor depth perception, Double vision"," Botox injections,  Patching therapy,  Surgical intervention,  Vision therapy, Glasses",True,True
D157,Meniere Disease," ear fullness,  hearing loss,  tinnitus, Vertigo"," anti-vertigo drugs),  lifestyle changes, Medications (diuretics",True,False
D158,Pituitary Adenoma," cognitive impairments,  erectile dysfunction,  fatigue,  growth abnormalities in children,  hormonal imbalances (such as excessive production or deficiency of specific hormones),  infertility,  menstrual irregularities,  mood changes,  vision problems (such as blurred vision or loss of peripheral vision),  weight gain or loss, Headaches"," hormone replacement therapy (if necessary),  management of associated complications or hormone deficiencies,  medication (to manage hormonal imbalances or reduce tumor size),  non-secreting tumors that are not causing significant symptoms),  radiation therapy (in cases where surgery is not possible or to treat residual or recurrent tumors),  regular follow-up and monitoring to assess tumor growth and hormone levels,  surgery (transsphenoidal surgery to remove the tumor),  targeted therapy (in cases of aggressive or resistant tumors), Observation and monitoring (for small",True,True
D159,Ischemia of the Bowel," bloody stools,  diarrhea,  fever,  low blood pressure,  nausea,  rapid heart rate,  vomiting, Severe abdominal pain"," bowel rest,  bypass procedure,  intravenous fluids and medications to stabilize the patient,  potential angioplasty,  resection, diagnostic tests",True,True
D160,Hydrocele of the Testicle,Swelling of the scrotum," surgical drainage (in some cases), Observation",False,False
D161,Endometrial Cancer," changes in bowel or bladder habits,  pelvic pain or discomfort, Abnormal vaginal bleeding"," chemotherapy,  hormone therapy,  radiation therapy, Surgery (hysterectomy)",True,False
D162,Endometriosis," heavy menstrual bleeding,  infertility,  intercourse,  or bowel movements),  painful periods, Pelvic pain, Pelvic pain (during menstruation"," complementary therapies (such as acupuncture or dietary changes),  fertility treatments (if pregnancy is desired),  hormonal contraceptives,  hormonal therapies,  hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives),  lifestyle modifications (such as regular exercise,  or progestins),  stress management),  surgery,  surgical interventions (such as laparoscopic excision or hysterectomy), Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], Pain medications",True,False
D163,Hydronephrosis," swelling in the abdomen,  urinary frequency, Flank pain"," medications,  surgery,  ureteral stent, Treating underlying cause",True,False
D164,Bell Palsy," drooping of the mouth or eyelid, Facial weakness or paralysis"," antiviral medications,  eye protection,  physical therapy, Corticosteroids",True,False
D165,Abscess of Nose," discharge from the nose,  redness,  swelling, Pain"," surgical drainage (in severe cases),  warm compresses, Antibiotics",False,False
D166,Bladder Disorder," pelvic pain,  urgency, Frequent urination"," bladder training,  lifestyle changes, Medications",True,False
D167,Emphysema," chest tightness,  chronic cough,  fatigue,  weight loss,  wheezing, Shortness of breath"," avoiding exposure to irritants (such as secondhand smoke or air pollutants),  breathing techniques),  inhaled corticosteroids),  medications to manage symptoms (such as bronchodilators,  pulmonary rehabilitation (exercise training,  regular monitoring of symptoms and lung function,  supplemental oxygen therapy (in advanced cases),  surgical interventions (such as lung volume reduction surgery or lung transplantation),  vaccination against respiratory infections, Smoking cessation (the most important intervention)",True,True
D168,Extrapyramidal Effect of Drugs," involuntary movements,  tremors, Muscle stiffness"," switching to alternative medications, Adjusting medication dosage",True,False
D169,Vasculitis," fatigue,  fever,  including rash,  muscle and joint pain,  shortness of breath,  weight loss, Inflammation of blood vessels leading to various symptoms depending on the affected organs"," biologic therapies (such as rituximab),  disease-specific treatments (such as plasmapheresis for certain types),  immunosuppressive medications (such as cyclophosphamide or azathioprine),  monitoring and management of associated complications (such as organ damage or infections),  supportive care to manage symptoms (such as pain relievers or blood pressure medications), Treatment depends on the type and severity of vasculitis. It may include corticosteroids",True,True
D170,Female Infertility of Unknown Cause," age-related factors,  hormonal imbalances,  irregular or absent menstrual cycles,  other, Inability to conceive after one year of unprotected intercourse"," fertility medications),  fertility treatments (assisted reproductive technologies,  genetic screening),  imaging,  lifestyle modifications (healthy diet,  regular exercise,  stress reduction), Fertility testing and evaluation (hormone tests",True,False
D171,Syringomyelia," chronic pain,  loss of sensation, Muscle weakness"," draining of syrinx (cyst),  pain management techniques,  physical therapy, Surgical decompression",True,False
D172,Von Hippel-Lindau Disease," or other organs),  other tumors or cysts,  pancreatic cysts/tumors,  pheochromocytomas (adrenal gland tumors),  renal cell carcinomas (kidney tumors),  retinal angiomas (abnormal blood vessel growth in the retina),  spinal cord, Hemangioblastomas (tumors in the brain"," embolization or radiation therapy for certain tumors,  genetic counseling and testing,  medication or surgery to manage hormonal issues (such as pheochromocytomas),  screening and management for other potential complications (such as kidney function monitoring),  surgical removal or treatment of tumors if necessary, Regular monitoring and surveillance to detect and manage tumor growth and associated complications",True,False
D173,Hemorrhoids," itchy,  or painful veins in the rectal area, Swollen"," avoiding straining during bowel movements,  over-the-counter pain relievers (after consulting with a healthcare provider),  staying hydrated,  topical creams or ointments,  warm sitz baths, Increasing fiber intake",False,False
D174,Bursitis," limited range of motion,  swelling,  tenderness, Joint pain"," compression,  elevation (RICE therapy),  ice,  pain relievers,  physical therapy,  steroid injections, Rest",True,False
D175,Cannabis Use Disorder," altered perception of time,  anxiety or paranoia (in some individuals),  bloodshot eyes,  continued use despite negative consequences (such as relationship problems,  impaired memory and concentration,  insomnia) when attempting to stop or reduce cannabis use,  job difficulties),  relaxation,  withdrawal symptoms (such as irritability, Increased appetite"," addressing co-occurring mental health conditions,  addressing underlying psychological or social factors,  harm reduction strategies,  lifestyle changes,  motivational interviewing),  ongoing monitoring and support,  support groups, Counseling or therapy (such as cognitive-behavioral therapy",True,False
D176,Heart Block," chest pain or discomfort,  dizziness,  fainting,  irregular heart rhythms,  shortness of breath, Fatigue"," calcium channel blockers),  pacemaker implantation (in severe cases or symptomatic heart block),  underlying condition management, Medications (such as beta-blockers",True,True
D177,Hemolytic Anemia," jaundice,  pale skin,  shortness of breath,  weakness, Fatigue"," blood transfusions,  corticosteroids),  folic acid or iron supplementation,  medications (immunosuppressants,  splenectomy (in some cases),  supportive care, Treatment of underlying cause",True,True
D178,Benzodiazepine Use Disorder," continued use despite negative consequences (such as relationship problems,  drowsiness,  health risks),  insomnia,  memory impairment,  poor coordination,  reduced anxiety,  relaxation,  tremors) when attempting to stop or reduce benzodiazepine use,  withdrawal symptoms (such as rebound anxiety, Sedation"," addressing co-occurring mental health conditions,  addressing underlying psychological or social factors,  counseling or therapy (such as cognitive-behavioral therapy),  harm reduction strategies,  lifestyle changes,  ongoing monitoring and support,  support groups, Gradual tapering off benzodiazepines under medical supervision",True,False
D179,Mitral Valve Disease," heart palpitations,  shortness of breath, Fatigue"," lifestyle changes,  surgical repair or replacement of the valve (in severe cases), Medications",True,True
D180,Varicose Veins," often in the legs,  swollen veins, Enlarged"," avoiding prolonged sitting or standing,  maintaining a healthy weight,  regular exercise,  wearing compression stockings, Elevating legs",False,False
D181,Recurrent salivary stones,Frequent episodes of stone formation," Stone removal, Hydration, Saliva stimulation",False,False
D182,Ocular Hypertension,Elevated intraocular pressure without optic nerve damage," use of eye drops to lower intraocular pressure (if necessary), Observation with regular eye exams",False,False
D183,Colonic Polyp," such as diarrhea or constipation., Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits"," follow-up based on pathology findings,  lifestyle modifications (healthy diet,  regular exercise,  smoking cessation),  surveillance colonoscopy (regular monitoring for recurrence or new polyps), Polypectomy (removal of polyp during colonoscopy)",True,False
D184,Indigestion," acidic taste,  bloating,  heartburn,  nausea, Abdominal pain"," dietary modifications,  medication,  over-the-counter antacids,  stress reduction),  therapy, Lifestyle changes (e.g.",True,False
D185,Acute Glaucoma," blurred vision,  halos around lights, Severe eye pain"," laser therapy,  surgery (in some cases), Medications (eye drops)",True,False
D186,Hypoglycemia," confusion,  dizziness,  sweating, Shaking"," adjusting medication or insulin dosage, Consuming glucose or sugar-containing foods",True,False
D187,Sciatica," leg pain,  numbness or tingling,  or numbness that radiates from the lower back through the hips and down the leg,  tingling, Lower back pain, Pain radiating from the lower back to the leg, Sharp pain"," avoiding activities that worsen the pain,  exercise,  gentle stretching exercises,  maintaining good posture,  physical therapy,  prenatal massages,  stretching exercises,  warm or cold compresses, Pain medications, Pain relievers, Rest",True,False
D188,Cystic Fibrosis," poor growth or weight gain,  recurrent lung infections,  salty-tasting skin, Persistent cough with thick mucus"," bronchodilators),  chest physical therapy,  enzyme supplements,  lung transplant (in severe cases), Medications (mucus-thinning drugs",True,True
D189,Insulin Overdose," confusion,  sweating), Low blood sugar (hypoglycemia) symptoms (e.g."," adjusting insulin dosage and regimen,  medical assistance, Immediate treatment of hypoglycemia",True,False
D190,Peritonsillar Abscess," difficulty swallowing,  fever,  neck pain or stiffness,  swollen tonsils,  voice changes, Severe sore throat"," drainage of the abscess (needle aspiration or incision and drainage),  fluids,  pain relievers,  rest,  surgical removal of the tonsils (in chronic or recurrent cases),  warm saltwater gargles, Antibiotics to treat infection",True,True
D191,Leishmaniasis," enlarged spleen or liver,  fever,  weight loss, Skin sores"," treatment of complications,  vector control measures (in endemic areas), Antiparasitic medications",True,True
D192,Pulmonary Congestion," chest discomfort or tightness,  cough,  fatigue,  wheezing, Shortness of breath"," heart failure),  lifestyle changes,  medications to manage underlying conditions (e.g.,  oxygen therapy, Diuretics",True,True
D193,Magnesium Deficiency," fatigue,  irregular heartbeat,  irritability,  loss of appetite,  mental confusion,  nausea,  personality changes,  seizures,  tingling or numbness,  vomiting,  weakness, Muscle twitches or cramps"," addressing underlying causes (e.g.,  intravenous magnesium therapy (in severe cases),  malabsorption),  medical supervision and monitoring,  oral magnesium supplements, Dietary changes (consuming magnesium-rich foods)",True,True
D194,Fracture of the Shoulder," limited range of motion,  swelling, Shoulder pain"," brace),  pain management,  physical therapy,  surgical intervention (in severe cases), Immobilization (sling",True,False
D195,Thrombophlebitis," and tenderness along a vein,  fever,  pain or discomfort,  skin discoloration,  swelling,  visible veins,  warmth, Redness"," anticoagulant therapy to prevent clot formation or progression,  compression stockings or bandages to promote blood flow,  elevation of the affected limb,  regular movement and exercise,  treatment of underlying causes (such as infection or intravenous catheter removal),  warm compresses, Medications to manage pain and inflammation",True,True
D196,Encephalitis," confusion,  fever,  neurological symptoms,  seizures, Headache"," antiviral medications (if caused by a viral infection),  supportive care, Hospitalization",True,True
D197,Fat Embolism," chest pain,  confusion,  neurological symptoms,  petechial rash (small red or purple spots), Respiratory distress"," anticoagulants),  fluid resuscitation),  managing symptoms (pain medication,  treatment of underlying cause if possible, Supportive care (oxygen therapy",True,False
D198,Cyst of the Eyelid," redness,  tenderness, Painful lump or swelling on the eyelid"," antibiotic ointments (if infected),  good eyelid hygiene,  surgical removal (if necessary), Warm compresses",False,False
D199,Dislocation of the Patella," inability to straighten the leg,  swelling, Knee pain"," immobilization,  physical therapy, Manual reduction",True,False
D200,Conjunctivitis due to Allergy," itching,  swollen eyelids,  watery discharge, Redness"," antihistamine eye drops,  cold compresses,  lubricating eye drops, Allergen avoidance",False,False
D201,Coagulation (Bleeding) Disorder," excessive bleeding from minor cuts or abrasions,  frequent nosebleeds,  heavy menstrual bleeding,  prolonged bleeding after injury or surgery, Easy bruising"," clotting factor replacement therapy,  lifestyle modifications,  medications to stimulate clotting,  surgery (in some cases), Blood transfusions",True,False
D202,Idiopathic Absence of Menstruation,Lack of menstrual periods," hormone therapy, Evaluation to determine underlying cause",True,False
D203,Migraine," nausea,  sensitivity to light,  sensitivity to light and sound,  visual disturbances, Severe headaches, headache"," cold compress,  lifestyle changes,  preventive medications,  rest, Pain-relieving medications, pain relief medication",True,False
D204,Temporomandibular Joint Disorder," clicking or popping sounds in the jaw joint,  difficulty chewing or opening the mouth, Jaw pain or tenderness"," applying heat or cold,  jaw exercises),  oral splints,  pain medications,  physical therapy, Self-care measures (rest",True,False
D205,Vitamin A Deficiency," dry eyes,  dry or rough skin,  poor wound healing,  weakened immune system, Night blindness"," dietary changes to include foods rich in vitamin A, Vitamin A supplementation",False,False
D206,Glucocorticoid Deficiency," abdominal pain,  low blood pressure,  weakness,  weight loss, Fatigue",Hormone replacement therapy with glucocorticoid medications,True,True
D207,Astigmatism," eye strain,  headaches, Blurred or distorted vision, uneven curvature of cornea"," PRK),  contact lenses,  orthokeratology,  refractive surgery (LASIK,  toric intraocular lenses, Eyeglasses",False,False
D208,Low-Tension Glaucoma," visual field defects, Gradual loss of vision"," alpha agonists,  beta blockers,  carbonic anhydrase inhibitors),  glaucoma drainage implants),  laser trabeculoplasty,  oral medications (e.g.,  prostaglandin analogs,  surgical procedures (e.g.,  trabeculectomy, Eye drops to lower intraocular pressure (e.g.",True,False
D209,Headache after lumbar puncture,throbbing headache," Conservative measures, Epidural blood patch",False,False
D210,Flat Feet," difficulty with foot and ankle movement,  foot fatigue,  swelling, Foot pain or achiness"," orthotic inserts,  pain management,  physical therapy exercises,  surgery (in severe cases), Supportive footwear",True,True
D211,Carbon Monoxide Poisoning," confusion,  dizziness,  nausea, Headache"," immediate medical attention,  oxygen therapy, Fresh air",True,False
D212,Orbital Cellulitis," redness,  swelling,  vision changes, Eye pain"," hospitalization (in severe cases),  surgical drainage (in some cases), Antibiotics",False,False
D213,Pulmonary Eosinophilia," chest pain,  elevated eosinophil count in the blood or sputum,  fatigue,  fever,  night sweats,  shortness of breath,  weight loss,  wheezing, Cough"," antiparasitic medications (if parasitic infection is identified),  avoidance of triggers or allergens (if identified),  bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow,  corticosteroids (such as prednisone) to reduce inflammation,  drug reactions,  immunosuppressive medications (in severe cases),  or allergic reactions),  regular monitoring and follow-up with a healthcare professional,  symptomatic treatment for associated symptoms (such as fever or cough), Identification and treatment of underlying causes (such as parasitic infections",True,True
D214,Antimicrobial Drugs Poisoning," diarrhea,  neurological symptoms,  vomiting, Nausea"," antidote administration,  supportive care, Immediate medical attention",False,False
D215,Eczema," inflamed skin,  rash,  red, Itchy"," avoiding triggers,  topical corticosteroids or immunomodulators, Emollients (moisturizers)",False,False
D216,Pneumonia," chest pain,  difficulty breathing,  fever, Cough"," antiviral medications (if applicable),  fluids,  rest,  symptomatic relief, Antibiotics",True,True
D217,Intestinal Malabsorption," abdominal pain or bloating,  failure to thrive,  fatigue,  minerals),  nutrient deficiencies (vitamins,  weight loss, Chronic diarrhea"," medications (to manage symptoms or underlying condition),  supplementation of deficient nutrients,  treatment of underlying cause, Dietary modifications (specific to the underlying cause)",True,True
D218,Conductive Hearing Loss," muffled or blocked sound, Reduced hearing sensitivity"," hearing aids,  surgical intervention, Medications",True,False
D219,Pinworm Infection," abdominal pain or discomfort,  anal or vaginal discharge,  irritability,  loss of appetite,  restless sleep, Itching around the anus or vagina"," hygiene measures (handwashing,  laundering bedding),  treatment for household members,  trimming nails, Anthelmintic medication",True,False
D220,Esophageal Varices," black,  tarry stools,  vomiting blood, Swollen blood vessels in the esophagus"," band ligation,  endoscopic therapies,  surgical interventions,  transjugular intrahepatic portosystemic shunt (TIPS),  vasoconstrictors), Medications (beta-blockers",True,False
D221,Dermatitis due to Sun Exposure," blistering,  itching,  rash,  redness, Redness, Sunburn-like rash"," avoiding sun exposure,  cool compresses,  moisturizers,  topical corticosteroids, Moisturizers, Topical corticosteroids",False,False
D222,Gonorrhea," abnormal discharge from the genitals,  pelvic pain, Painful urination"," partner notification,  safe sexual practices, Antibiotics (dual therapy with ceftriaxone and azithromycin)",True,False
D223,Chronic Sinusitis," cough,  fatigue,  nasal congestion,  postnasal drip,  thick nasal discharge, Facial pain or pressure"," antibiotics (in bacterial cases),  decongestants,  nasal corticosteroids,  pain relievers,  surgery (in severe or chronic cases), Saline nasal irrigation",True,True
D224,Concussion," confusion,  dizziness,  memory problems,  mood changes,  nausea or vomiting,  sensitivity to light or noise, Headache"," avoiding further head injuries,  cognitive rehabilitation (if persistent cognitive problems),  education and support for recovery,  gradual return to normal activities,  management of associated symptoms (such as sleep disturbances or mood changes),  monitoring for complications (such as changes in neurological function),  symptom management (such as pain relievers or anti-nausea medication), Physical and cognitive rest",True,False
D225,Parathyroid Adenoma," bone pain,  frequent urination,  kidney stones,  weakness, Fatigue"," medications to manage calcium levels, Surgical removal of the adenoma (parathyroidectomy)",True,True
D226,Herpangina," difficulty swallowing,  fever,  loss of appetite,  painful sores or blisters in the mouth and throat, Sore throat"," avoiding spicy or acidic foods,  fluids,  maintaining good oral hygiene,  mouth rinses),  rest,  throat lozenges, Symptomatic relief (pain relievers",False,True
D227,Conversion Disorder," blindness,  or difficulty speaking,  seizures,  such as paralysis, Neurological symptoms that cannot be explained by a medical condition or injury"," addressing underlying stressors or psychological factors,  physical therapy or rehabilitation (to improve physical function and reduce disability),  potentially medications (such as antidepressants or anti-anxiety medications),  supportive care and reassurance, Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy)",True,False
D228,Lymphedema," feeling of heaviness or tightness, Swelling in arms or legs"," exercise,  lymphatic drainage techniques,  surgery (in severe cases), Compression therapy",True,False
D229,Hirschsprung Disease," abdominal distension,  failure to pass meconium (in newborns), Chronic constipation",Surgery to remove the affected part of the colon (pull-through procedure),True,False
D230,Rheumatoid Arthritis," fatigue,  loss of appetite,  stiffness,  swelling, Joint pain"," disease-modifying antirheumatic drugs),  exercise,  physical therapy, Medications (nonsteroidal anti-inflammatory drugs",True,True
D231,Turner syndrome," Gonadal dysgenesis,  Lymphedema,  Webbed neck, Short stature"," Cardiac and renal evaluations,  Estrogen replacement therapy, Growth hormone therapy",True,False
D232,Endophthalmitis," blurred vision,  decreased vision,  discharge from the eye,  excessive tearing,  fever,  floaters (dark spots or cobwebs in the vision),  increased sensitivity to light (photophobia),  redness,  swelling, Eye pain"," frequent follow-up visits with an ophthalmologist,  inflammation,  intravitreal injections (injections of antibiotics or antifungal agents directly into the eye),  or infection),  supportive care (such as warm compresses or lubricating eye drops),  topical or oral medications (to manage pain,  vitrectomy (surgical removal of the gel-like fluid within the eye), Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications",True,True
D233,Myelodysplastic Syndrome," easy bruising or bleeding,  frequent infections, Fatigue"," blood transfusions,  bone marrow transplantation (in some cases),  medications, Supportive care",True,True
D234,Premature Ventricular Contractions (PVCs)," lightheadedness,  palpitations, Skipped or extra heartbeats"," antiarrhythmics),  lifestyle changes,  medications (beta-blockers, Monitoring (in most cases)",True,False
D235,Ludwig's angina," difficulty swallowing,  drooling,  fever, Severe swelling of the floor of the mouth"," airway management,  surgical drainage, Intravenous antibiotics",False,True
D236,Cryptococcosis," cough,  fatigue,  fever,  meningitis,  pneumonia, Headache"," Amphotericin B,  Fluconazole),  supportive care, Antifungal medication (e.g.",True,True
D237,Diabetic Kidney Disease," fatigue,  increased need to urinate,  loss of appetite,  nausea,  swelling in the legs and ankles, High blood pressure"," blood sugar control,  lifestyle modifications (healthy diet,  management of underlying diabetes,  medications to protect the kidneys (such as ACE inhibitors or ARBs),  quitting smoking),  regular exercise,  treatment of complications (such as dialysis or kidney transplantation in advanced stages), Blood pressure control",True,True
D238,Premenstrual Tension Syndrome," bloating,  breast tenderness,  irritability, Mood swings"," hormonal contraceptives),  medications (pain relievers,  therapy, Lifestyle changes",True,False
D239,Drug Abuse (Methamphetamine)," decreased appetite,  rapid heartbeat, Increased energy and alertness"," behavioral therapies,  counseling,  medication-assisted treatment (if applicable),  support groups, Detoxification",True,False
D240,Urge Incontinence," intense urge to urinate followed by involuntary urine leakage, Sudden"," beta-3 agonists),  medical devices,  medications (anticholinergics,  pelvic floor exercises), Behavioral therapies (bladder training",True,False
D241,Dengue Fever," bleeding tendencies,  joint and muscle pain,  nausea or vomiting,  rash,  severe headache, High fever"," blood transfusion,  hospitalization),  medical attention for severe cases (fluid replacement,  monitoring,  pain relievers,  rest), Supportive care (hydration",True,True
